,RMSE,MAE,R2,MAPE%,WMAPE%
Naive (hour+season avg),452.22035766516586,308.4671580036204,0.3413713479020999,275.0149548951444,36.52927030115057
Linear Regression,462.4833936637452,328.32223674307534,0.31113727096515953,82.68905911418017,38.88054666657701
Random Forest,402.69030195807346,287.5057008231461,0.4777448364024155,57.433008188489445,34.04697448655836
XGBoost,281.80315048806676,204.06027221679688,0.7442402839660645,46.98703192817165,24.165206962330547
